Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:03:08
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:06:51
Chennai,29.5,35.920000000000016,Mist,2024-10-24 16:10:03
Bangalore,23.260000000000048,23.939999999999998,Mist,2024-10-24 16:03:15
Kolkata,24.970000000000027,24.100000000000023,Haze,2024-10-24 16:04:03
Hyderabad,23.230000000000018,23.650000000000034,Haze,2024-10-24 16:02:07
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:14:34
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:18:00
Chennai,29.5,35.920000000000016,Mist,2024-10-24 16:10:03
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:13:51
Kolkata,24.970000000000027,24.100000000000023,Haze,2024-10-24 16:15:34
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:12:18
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:20:02
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:18:00
Chennai,29.5,35.920000000000016,Mist,2024-10-24 16:15:59
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:21:23
Kolkata,24.970000000000027,24.100000000000023,Haze,2024-10-24 16:20:49
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:17:16
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:20:02
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:18:00
Chennai,29.650000000000034,36.35000000000002,Mist,2024-10-24 16:27:59
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:21:23
Kolkata,24.970000000000027,24.100000000000023,Haze,2024-10-24 16:20:49
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:28:58
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:28:01
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:27:10
Chennai,29.650000000000034,36.10000000000002,Mist,2024-10-24 16:30:30
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:24:42
Kolkata,24.970000000000027,24.100000000000023,Haze,2024-10-24 16:28:51
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:24:10
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:30:50
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:29:20
Chennai,29.379999999999995,35.110000000000014,Mist,2024-10-24 16:38:28
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:29:55
Kolkata,24.970000000000027,24.100000000000023,Haze,2024-10-24 16:28:51
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:39:37
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:38:35
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:40:02
Chennai,29.379999999999995,35.110000000000014,Mist,2024-10-24 16:38:28
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:39:45
Kolkata,24.970000000000027,25.82000000000005,Haze,2024-10-24 16:42:11
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:39:37
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:38:35
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:40:02
Chennai,29.27000000000004,35.04000000000002,Mist,2024-10-24 16:49:00
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:39:45
Kolkata,24.970000000000027,25.82000000000005,Haze,2024-10-24 16:42:11
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:45:04
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:48:50
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:45:25
Chennai,29.140000000000043,34.910000000000025,Mist,2024-10-24 16:54:23
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:46:30
Kolkata,24.970000000000027,25.82000000000005,Haze,2024-10-24 16:49:21
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:46:39
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 16:50:20
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 16:49:37
Chennai,29.090000000000032,34.55000000000001,Mist,2024-10-24 16:59:34
Bangalore,23.260000000000048,23.99000000000001,Mist,2024-10-24 16:47:44
Kolkata,24.970000000000027,25.82000000000005,Haze,2024-10-24 16:49:21
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:56:59
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 17:01:35
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 17:00:28
Chennai,29.090000000000032,34.55000000000001,Mist,2024-10-24 16:59:34
Bangalore,23.260000000000048,24.02000000000004,Mist,2024-10-24 17:00:39
Kolkata,24.970000000000027,25.82000000000005,Haze,2024-10-24 17:00:58
Hyderabad,22.230000000000018,22.680000000000007,Haze,2024-10-24 16:56:59
Delhi,25.05000000000001,25.200000000000045,Haze,2024-10-24 17:05:28
Mumbai,29.99000000000001,34.08000000000004,Haze,2024-10-24 17:05:56
Chennai,29.04000000000002,34.85000000000002,Mist,2024-10-24 17:04:00
Bangalore,23.03000000000003,23.760000000000048,Mist,2024-10-24 17:04:00
Kolkata,24.970000000000027,25.82000000000005,Haze,2024-10-24 17:10:06
Hyderabad,23.730000000000018,24.060000000000002,Haze,2024-10-24 17:07:57
